;TEXT
Tweet118;"Boa tarde Senhor Carlos ManatoVirei seu fã desde que o senhor discursou na Câmara dos Deputados em 2018 pouco antes do segundo turno das eleições Até os dias de hoje esse vídeo me inspiraParabéns pelas palavrasVídeo mais mítico da história
"
Tweet119;"costarui EMOCIONANTE Carga de Cloroquina enviada pelo nosso Presidente Jair Messias Bolsonaro chega em Porto Seguro Parabéns a essa guerreiraDra Raissa Soaresque tem travado uma luta incansável pelaVIDATem todo nosso apoio Carlos Manatohttpsfacebookcom172779819443505posts3187228354665288…
"
Tweet120;"No gabinete da deputada federal Soraya Manato na Câmara ao menos um dos servidores tem atuado nos grupos bolsonaristas analisados pela reportagem no compartilhamento de conteúdosA própria deputada Carlos Manato e outros servidores estão nos grupos httpsleiaag40teiw
"
Tweet121;"A reportagem de AGazetaES teve acesso a 5 grupos no WhatsApp criados por assessores do deputado estadual Capitão Assumção Patriota e da deputada federal Soraya Manato PSL Além deles o exdeputado federal Carlos Manato também participaLeia mais httpsleiaag40teiw
"
Tweet122;"Nossa Esse prefeito e tido como um dos melhores prefeitos do Brasil e umas das referências capixaba É trite saber disso mas como disse o Dr Carlos Manato do famoso ditado Quer conhecer uma pessoa Dê poder a ele
"
Tweet123;"Assista ao vídeo Carlos Manato faz apelo ao Governador do ES Vamos parar de politicagem vamos salvar vidas httpscidadenaredenetnoticia169assistaaovideocarlosmanatofazapeloaogovernadordoesrvamosparardepoliticagemvamossalvarvidasr…
"
Tweet124;"Assista ao vídeo Carlos Manato faz apelo ao Governador do ES Vamos parar de politicagem vamos salvar vidas” httpscidadenaredenetnoticia169assistaaovideocarlosmanatofazapeloaogovernadordoesrvamosparardepoliticagemvamossalvarvidasr…
"
Tweet125;"Deputado Assumção e Carlos Manato pegam carona em fake news contra a família do governador e se dão mal soldados de Carlos bozoNero temGabineteDoOdio no ES 
"
Tweet126;"Vc e seu marido Carlos Manato tem  uma admiradoraSe existe uma coisa que eu respeito nas pessoas é o caráter
"
Tweet127;"Inclusive este outro Partido conservador pode compor base no Parlamento futuramente com o AliançaOutrossim o Presidente precisa de base Municipal doravante para fazer frente ao socialismo e fisiologismo instalado nas câmaras municipaisPor favor converse com o Carlos Manato
"
Tweet128;"Obrigada por confirmar que NÃO ASSINEI A SUA LISTA DE CANDIDATURA A LIDERANÇA DO PSL e por não me convidar para isso porque a senhora já sabia o meu posicionamento Eu e o meu marido Carlos Manato SOMOS JAIR MESSIAS BOLSONARO Obrigada por dizer isso à população 
"
Tweet129;"frente do palco Foi para um canto Sabe quem se aproveitou da cadeira vaga Carlos Manato Ele parecia que não queria ser identificado Estava de cabeça baixa de boné Quando a esposa dele a deputada Soraya foi apresentada o que se ouviu foi um misto de poucos aplausos e
"
