;TEXT
Tweet99;"Meu padastro votou e tem campanha para Bolsonaro Agora ele está liberto Vai cravar 13 com força na urna LulaOficial
"
Tweet100;"Quanto Mais Subir O Tom Pior Vai Ser  Para EleBolsonaro E Todos Os  Seguidores Precisam Entender Que Em 2018 Sua Eleição Foi Algo Acidental E Agora Chega  De Pessoas Tão Mal Preparados Sem Noção E Politicamente Incorreto No Executivo
"
Tweet101;"liga 577 Estamos no ar pressão nas pesquisas e do tempo fazem campanha de Bolsonaro subir o tom mas fala do presidente amanhã no 709 é um risco segundo aliados políticos No RJ Fabrício Queiroz organiza carreata para ato com Bolsonaro Liga CNN360 Chegamos
"
Tweet102;"VÍDEO Fábio Faria critica UOL por matéria sobre compra de imóveis da família Bolsonaro “Estão interferindo na democracia com mentiras”
"
Tweet103;"Ele é dissimulado isso sim
"
Tweet104;"Enfim leomoura2  Que familiazinha Bandid também além de você é claro Digo você devido ao financiamento de 40 milhões dado pelo palhaço bOLSONARO àquela ONG onde você construiu 3 ou 4 quadras esportivas tentando justificar vultoso DINDIN fifa CBFFutebol FFERJ
"
Tweet105;"Senhora poderia citar quais foram as mansões comprada em dinheiro vivo pelo presidente Bolsonaro
"
Tweet106;"Isso dai você leu na Folha Ou no UOL Ou Acredita em matéria da Globo Cara sabe a diferença de moeda corrente e de dinheiro vivo Esse grupo ai ta desesperado por falta de dinheiro mas concorda comigo que o cara seria muito idiota pra declarar isso em cartório perseguição
"
Tweet107;"A esse tipo de atitude damos o nome de coragemBolsonaro 22 no primeiro turno
"
Tweet108;"Bolsonaro programa eleitoral 2min38seg  TV  parte para o ataque con httpsyoutubenacTn3XVoSE via YouTube
"
Tweet109;"JAIR FLOQUINHO DE NEVEBOLSONARO CHILIQUENTO
"
Tweet110;"o fake da  que tretou com a mina no 7 de setembro por causa do bolsonaro
"
Tweet111;"bolsonaro con b de basado
"
Tweet112;" Brasil ordena a Apple suspender las ventas de iPhone sin cargador de bateríaEl gobierno considera que la compañía ofrece un producto incompleto a los consumidores
"
Tweet113;"Ficou bom pra quase todo mundo a Pan fica como pluralista e a Amanda fica como a jornalista que fez a pergunta incômoda Só não fica bom pro Bolsonaro mesmo que não consegue esconder que é um machista escroto e desequilibrado
"
Tweet114;"E qual o problema se foi em dinheiroA Receita Federal fechou os olhos para as declarações de IR delesTem algum imóvel que não esteja declaradoQuais destes imóveis são de fato do PRToda sua receita foi declaradaSe vc não souber responder essas perguntas fica calado
"
Tweet115;"A amiga da minha mãe perguntando se eu vou com eles pra passeata de amanhã e minha mãe sem graça falando que eu sou anti Bolsonaro Kkkkkkkkkkkk
"
Tweet116;"É acho que foi isso que havia assistido Uma vez confirmada a posição dela é UM MILHÃO de vezes melhor que Lula e Bolsonaro
"
Tweet117;"O encantador de GADO 
"
Tweet118;"O MEU NORDESTE TE SERÁ ETERNAMENTE GRATO MEU PRESIDENTE ADORADO BOLSONARO OBG POR TUDO 
"
Tweet119;"Sobre a transposição do Rio São Francisco Obrigado Presidente jairbolsonaro e tarcisiogdf 
"
Tweet120;"Piada Corruptos e ex mensaleiros que apoiam o Bolsonaro Valdemar e Roberto Jefferson além do Collor Acorda Brasil Cadê a lista da Odebrecht E o vamos estancar a sangria com STF e tudo
"
Tweet121;"jairbolsonaro kgão
"
Tweet122;"pô cara não dá dependendo do nível que a pessoa se envolva com política se for pró bolsonaro por exemplo e totalmente a favor eu não conseguiria
"
Tweet123;"Bolsonaro no primeiro turno seu corrupto
"
Tweet124;"Pense nos quem vivem do comércio da religião Eles sabem que mais de 70 dos evangélicos votaram no primeiro turno em Bolsonaro nas eleições de 2018 Quem é louco de protestar contra essa massa de consumidoresTenho profundo respeito pelos que não se calaram
"
Tweet125;"Cirista nunca gritou Fora Bolsonaroesse povinho sempre foi conveniente ao bolsonarismo o único interesses deles é sabotar o PT e a esquerda como um todo
"
Tweet126;"A galera tá gritando FORABOLSONARO desde 2018 mas vai dar uma chance pra ele ir no segundo turno entenda o cirista
"
Tweet127;"Os 15 de fama do bolsonaro está quase acabando
"
Tweet128;"Vcs vão ser é preso
"
Tweet129;"Impressionante o Bolsonaro é muito corno manso até hoje acreditando no tucano
"
Tweet130;"josesimao Prezado Simão pergunto a você que é bem informado como é a história da moça que é casada com um cara que vota no Bolsonaro
"
Tweet131;"Ué mas essa aí não é a mídia esquerdista sem credibilidade que vcs bolsolixos esquizofrênicos tanto falam 2023 é Lula presidente2023 é Bolsonaro presidiário 
"
Tweet132;"Vai lá Bolsonaro Xingue o Alexandre de Moraes amanhã e peça fechamento do STF
"
Tweet133;"Quem acredita na derrota do Bolsonaro no primeiro turno  Eu acredito e você 
"
Tweet134;"Rodrigo Constantino segue sem responder por que Lula é ladrão sem comprovação de que os dois imóveis associados a ele é dele e por que ele considera a família Bolsonaro honesta tendo comprado 107 imóveis sendo 51 imóveis pagos em dinheiro vivo
"
Tweet135;"amg desculpa mas as pessoas que mais gritaram “Fora Bolsonaro” e encabeçaram o movimento desde de 2018 foram os militantes do PT e da atual coligação do PT Problemático falar que os petistas ficaram calados esse tempo todo em um momento em que esses militantes são assasinados
"
Tweet136;"Bolsonaro é o maior cabo eleitoral de Lula Lula é o maior cabo eleitoral de Moro e Ciro é o maior cabo eleitoral dele próprio
"
Tweet137;"Garimpo do ouro dobra com Bolsonaro em ataques à Terra Yanomami em Roraima diz estudo
"
Tweet138;"Cara de pauTomou aquela água de novo  Disse pra ele mesmo 
"
Tweet139;"Entendi Grandes feitos né Bom bom restante da semana pra vc
"
Tweet140;"O maior e principal problema é que o pessoal acha mesmo que o Bolsonaro ou qq outro presidente vai defender ideais cristãos Primeiro porque o Congresso é mais forte segundo porque quando Deus separar joio do trigo não tem titulo eleitoral e voto que impedirá isso 
"
Tweet141;"O QUÊ ESTÁ ACONTECENDO COM A BAND
"
Tweet142;"Tem que ser viralizado
"
Tweet143;"E se fosse dinheiro vivo mais limpoteria algum problemaNão adianta eles tentarem sou Bolsonaro até de baixo dágua
"
Tweet144;"Seu auxílio tenho certeza que vc pegou né kkkkk
"
Tweet145;"A briga já não é mais nem Bolsonaro x Loolah Direita x Esquerda Capitalismo x Socialismo A briga passou a ser contra o 2 PESOS 2 MEDIDAS e ações ditatoriais e inconstitucionais da banda podre do Estado os maiores INIMIGOS DO POVO e das liberdades São sabotadores da Nação
"
Tweet146;"Se até o seu vice sabe que ele é um ladravaz Bolsonaro tá certíssimo
"
Tweet147;"Para de criar realidade paralela Ciro esculhamba o Bolsonaro TODO SANTO DIA Na JP inclusive passou mais tempo denunciando e esculhambando o Bolsonaro na cara de bolsonarista do que o Lula jamais fez Tem que ter bolas p isso né
"
Tweet148;"E não vão arredar o pé das fake news estão impunes Quero estar errado mas a inércia dos politicos eleitos no rastro de Bolsonaro que se dizem base aliada me deixa perplexo Espero estar errado
"
Tweet149;"Ciro critica tanto o PT como o Bolsonaro é natural que divulguem as falas do Ciro porque eles estão atrás nas pesquisas Isso não invalida o argumento de que houve sim muita corrupção nos governos petistas É só olhar a turma que tá apoiando o Lula hoje
"
Tweet150;"liga nao este povo vive em um mundo paralelo claramente o bolsonaro consegue juntar muito mais gente e sem pagar pao com mortadela kk
"
Tweet151;"A esquerda está pirada ou melhor dizendo uma pilha Nada dá certo principalmente quando deixam Lula e a Janja falar Com o Ciro ainda detonando o Nine  Morri
"
Tweet152;"Entrevista da Paraná pesquisa Em quem o Sr Ou Será vai votar para Presidente Bolsonaro ou BolsonaroQuero dizer outroEntão diz outro qualquer aíLulaTá bomEla disse Tebet anotado
"
Tweet153;"E tem outra coisa Usa propaganda para promover Bolsonaro e não pra falar de Lula Se atacar em propaganda eleitoral resolvesse algo o Bolsonaro n teria sido eleito em 2018 NÃO DESESPERA CARALHO
"
Tweet154;"Qual modelo A que denunciou Maluf Marta Serra Sarney Temer Lula e Dilma e estava 100 certa Qual imprensa é confiável A que esconde os erros do Bolsonaro A gente já é adulto e sabe o que é certo e errado Só precisa aceitar que Bolsonaro é o Lula de direita
"
Tweet155;"Mas eu estou me posicionando Lula e Bolsonaro são dois enviados do Diabo para prejudicar o Brasil
"
Tweet156;"Como se saiu Bolsonaro na sabatina da Jovem Pan News Analistas debatem  httpsyoutubeUKdttA11pks via YouTube
"
Tweet157;"Hahahahaha
"
